V2NiGa,23,V,Ni,Ga,A1Mom,1.051,5.942,-0.211172,-0.82359,-1.1334,-0.4334,0.4334,0.7,None,-0.121729
V2NiIn,23,V,Ni,In,A1Mom,1.0121,6.193,0.809481,-0.8796,-1.0375,-0.3575,0.3575,0.68,None,-0.449818
Cr2CoAl,24,Cr,Co,Al,A1Mom,-0.0007,5.805,-0.320639,-0.99174,0.0792,0.4192,0.0792,0.34,None,-0.808357
Cr2CoGa,24,Cr,Co,Ga,A1Mom,-0.0303,5.815,0.020802,-0.89151,0.36,0.45,0.36,0.09,None,-0.604642
Cr2CoIn,24,Cr,Co,In,A1Mom,-0.0827,6.128,1.188416,-0.77275,-1.1549,-0.8649,0.8649,0.29,None,-0.709092
Cr2FeGe,24,Cr,Fe,Ge,NormMom,0.0043,5.762,0.034365,0.97696,0.1699,0.2499,0.1699,0.08,None,-0.157683
Cr2FeSi,24,Cr,Fe,Si,BigMom,0.0027,5.615,-0.879579,0.00173,-1.6187,-1.2187,1.2187,0.4,None,-0.370441
Cr2FeSn,24,Cr,Fe,Sn,A1Mom,-0.0083,6.081,0.900007,-0.9802,0.2427,0.3427,0.2427,0.1,None,-0.272595
V2CoSb,24,V,Co,Sb,BigMom,0.0003,6.105,0.273592,0.0117,-1.3797,-0.8397,0.8397,0.54,None,-0.367989
V2NiSn,24,V,Ni,Sn,A1Mom,-0.011,6.189,0.247688,-0.86089,-1.2867,-0.5667,0.5667,0.72,None,-0.319646
Cr2CoGe,25,Cr,Co,Ge,A1Mom,-1.0079,5.792,-0.080854,-0.96622,0.2216,0.5516,0.2216,0.33,None,-0.677706
Cr2CoSi,25,Cr,Co,Si,BigMom,1.0014,5.657,-0.877549,0.99039,0.09,0.14,0.09,0.05,None,-0.770944
Cr2CoSn,25,Cr,Co,Sn,A1Mom,-1.0173,6.101,0.561824,-0.94157,-1.5728,-1.0528,1.0528,0.52,None,-0.701027
Cr2FeP,25,Cr,Fe,P,BigMom,1.0021,5.584,-0.894342,0.99035,-1.6836,-1.4636,1.4636,0.22,None,-0.018932
Cr2FeSb,25,Cr,Fe,Sb,NormMom,1.0029,6.037,0.878528,0.99283,0.1401,0.6001,0.1401,0.46,None,-0.303169
Cr2NiGa,25,Cr,Ni,Ga,A1Mom,-0.9984,5.871,-0.089882,-0.93785,1.0782,1.1882,1.0782,0.11,None,-0.721806
Cr2NiIn,25,Cr,Ni,In,A1Mom,-0.854,6.174,0.871202,-0.35788,-1.4435,-1.1135,1.1135,0.33,None,-0.741596
Mn2FeAl,25,Mn,Fe,Al,A1Mom,-1.0001,5.746,-0.127817,-0.99898,0.0433,0.4733,0.0433,0.43,None,-0.296271
Mn2FeGa,25,Mn,Fe,Ga,A1Mom,-1.0117,5.775,-0.302234,-0.98873,0.2472,0.3772,0.2472,0.13,None,-0.176672
